identity_client,weight,age,profile_gender,profile_GOR,voted_ge_2024,pastvote_ge_2024,pastvote_EURef,profile_education_level,profile_education_level_recode,profile_work_stat,political_attention,split,xconsent,randMOSTLEAST,mostlikely,leastlikely,MLthermo,MLthermo_KB,MLthermo_KS,MLthermo_NF,MLthermo_ED,MLthermo_CD,MLthermo_AR,LLthermo,LLthermo_KB,LLthermo_KS,LLthermo_NF,LLthermo_ED,LLthermo_CD,LLthermo_AR,agreedisagree,xtrust,child
862,0.65,32,Female,Wales,"Yes, voted",Plaid Cymru,I voted to Remain,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),6,1,I consent to taking part in this study,6,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,50,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
863,0.7,76,Male,South West,"Yes, voted",Conservative,I voted to Remain,Recognised trade apprenticeship completed,Medium,Retired,7,4,I consent to taking part in this study,2,Reform UK,Green Party,1,Not Asked,Not Asked,68,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Once in a while,Neither happy nor upset
864,0.62,38,Female,East of England,"Yes, voted",Labour,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),4,4,I consent to taking part in this study,6,Green Party,Conservative Party,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
865,0.69,52,Male,North West,"Yes, voted",Labour,I did not vote,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),6,3,I consent to taking part in this study,3,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
866,2.82,52,Male,East of England,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),1,4,I consent to taking part in this study,2,Conservative Party,Reform UK,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,997,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Don't know,Neither happy nor upset
867,0.82,35,Male,North West,"Yes, voted",Reform UK,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,2,I consent to taking part in this study,4,Reform UK,Labour Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,Not Asked,15,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
868,1.15,53,Male,Wales,"Yes, voted",Reform UK,I voted to Leave,Recognised trade apprenticeship completed,Medium,Working full time (30 or more hours per week),7,2,I consent to taking part in this study,3,Reform UK,Liberal Democrats,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,0,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
869,2.57,74,Female,South East,"No, did not vote",,I voted to Leave,Recognised trade apprenticeship completed,Medium,Retired,0,4,I consent to taking part in this study,6,Reform UK,Labour Party,1,Not Asked,Not Asked,50,Not Asked,Not Asked,Not Asked,1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Somewhat upset
870,0.8,57,Female,North East,"Yes, voted",Conservative,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),10,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
871,0.58,66,Female,South East,"Yes, voted",Green,I voted to Leave,CSE grades 2-5,Low,Retired,5,1,I consent to taking part in this study,6,Reform UK,Labour Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
872,0.92,71,Male,Scotland,"Yes, voted",Conservative,I did not vote,Prefer not to say,Medium,Retired,6,4,I consent to taking part in this study,5,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
873,1.03,36,Male,South East,"Yes, voted",Other,I voted to Leave,GCE A level or Higher Certificate,Medium,Working part time (8-29 hours a week),7,4,I consent to taking part in this study,3,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
874,0.81,39,Male,Yorkshire and the Humber,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,3,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,54,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,2,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
875,0.85,57,Female,London,"No, did not vote",,I did not vote,University diploma,Medium,Working part time (Less than 8 hours a week),7,3,I consent to taking part in this study,6,Labour Party,Conservative Party,1,Not Asked,96,Not Asked,Not Asked,Not Asked,Not Asked,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Tend to agree,Don't know,Somewhat happy
876,0.96,62,Male,West Midlands,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),9,2,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,83,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,2,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
877,0.58,63,Male,Scotland,"Yes, voted",Reform UK,I voted to Leave,City & Guilds certificate,Low,Working full time (30 or more hours per week),10,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
878,0.6,58,Female,Scotland,"Yes, voted",Labour,I voted to Leave,"Other technical, professional or higher qualification",Medium,Retired,10,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
879,0.61,75,Female,West Midlands,"Yes, voted",Labour,I voted to Remain,"Other technical, professional or higher qualification",Medium,Retired,7,2,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,74,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
880,1.07,49,Male,East Midlands,"Yes, voted",Reform UK,I voted to Remain,Prefer not to say,Medium,Working full time (30 or more hours per week),3,1,I consent to taking part in this study,5,Reform UK,Conservative Party,1,Not Asked,Not Asked,64,Not Asked,Not Asked,Not Asked,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Almost never,Neither happy nor upset
881,0.8,35,Male,South East,"Yes, voted",Reform UK,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),6,3,I consent to taking part in this study,2,Reform UK,Labour Party,1,Not Asked,Not Asked,16,Not Asked,Not Asked,Not Asked,1,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
882,0.68,39,Female,East of England,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Full time student,7,2,I consent to taking part in this study,1,Labour Party,Conservative Party,1,Not Asked,71,Not Asked,Not Asked,Not Asked,Not Asked,1,5,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
883,0.81,53,Male,Scotland,"Yes, voted",Labour,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),6,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
884,0.65,61,Female,Wales,"Yes, voted",Reform UK,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,10,3,I consent to taking part in this study,4,Reform UK,Labour Party,1,Not Asked,Not Asked,90,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Almost never,Neither happy nor upset
885,2.16,23,Female,London,"Yes, voted",Reform UK,I did not vote,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),5,1,I consent to taking part in this study,4,Reform UK,Conservative Party,1,Not Asked,Not Asked,997,Not Asked,Not Asked,Not Asked,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Don't know,Don't know,Don't know
886,0.67,56,Female,North East,"Yes, voted",Reform UK,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working part time (8-29 hours a week),7,4,I consent to taking part in this study,6,Reform UK,Liberal Democrats,1,Not Asked,Not Asked,95,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Don't know,Almost never,Neither happy nor upset
887,0.72,53,Male,East of England,"No, did not vote",,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),6,1,I consent to taking part in this study,6,Reform UK,Labour Party,1,Not Asked,Not Asked,90,Not Asked,Not Asked,Not Asked,1,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely happy
888,0.61,22,Female,West Midlands,"No, did not vote",,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Unemployed,5,1,I consent to taking part in this study,4,Labour Party,Reform UK,1,Not Asked,20,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
889,3.42,55,Female,Scotland,"No, did not vote",,I voted to Leave,No formal qualifications,Low,Working part time (8-29 hours a week),0,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
890,0.59,34,Female,North West,"Yes, voted",Labour,I voted to Leave,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),4,4,I consent to taking part in this study,3,Labour Party,Reform UK,1,Not Asked,81,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
891,0.54,64,Male,East Midlands,"No, did not vote",,I did not vote,No formal qualifications,Low,Working full time (30 or more hours per week),8,2,I consent to taking part in this study,5,Reform UK,Labour Party,1,Not Asked,Not Asked,90,Not Asked,Not Asked,Not Asked,1,Not Asked,5,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
892,0.88,72,Male,Yorkshire and the Humber,"Yes, voted",Conservative,I voted to Remain,"Other technical, professional or higher qualification",Medium,Retired,6,1,I consent to taking part in this study,4,Conservative Party,Labour Party,1,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,11,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
893,1.16,29,Male,Yorkshire and the Humber,"Yes, voted",Reform UK,I voted to Leave,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),6,2,I consent to taking part in this study,4,Reform UK,Green Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Don't know,Once in a while,Don't know
894,0.63,64,Female,Wales,"Yes, voted",Reform UK,I voted to Leave,Scottish Ordinary/ Lower Certificate,Low,Retired,5,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
895,1.08,41,Male,West Midlands,"Yes, voted",Labour,I voted to Leave,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),5,1,I consent to taking part in this study,5,Labour Party,Reform UK,1,Not Asked,62,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
896,0.92,30,Female,Scotland,"Yes, voted",Conservative,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Not working,5,4,I consent to taking part in this study,3,Conservative Party,Labour Party,1,58,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,35,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
897,2.77,31,Female,South West,"No, did not vote",,I did not vote,Don't know,Medium,Working full time (30 or more hours per week),2,4,I consent to taking part in this study,1,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
898,3.48,71,Male,South East,"Yes, voted",Reform UK,I voted to Leave,Recognised trade apprenticeship completed,Medium,Retired,2,1,I consent to taking part in this study,3,Reform UK,Conservative Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,28,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
899,3.48,35,Male,South East,"Yes, voted",Other,I voted to Remain,GCE A level or Higher Certificate,Medium,Working part time (8-29 hours a week),2,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
900,0.84,65,Male,South West,"Yes, voted",Conservative,I voted to Leave,CSE grades 2-5,Low,Working part time (8-29 hours a week),6,4,I consent to taking part in this study,1,Conservative Party,Green Party,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Neither agree nor disagree,About half of the time,Extremely happy
901,0.61,44,Female,North East,"Yes, voted",Green,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,2,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,100,90,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
902,0.41,44,Female,South East,"Yes, voted",Labour,I did not vote,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),10,1,I consent to taking part in this study,4,Labour Party,Reform UK,1,Not Asked,77,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,3,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
903,0.65,43,Female,South East,"Yes, voted",Conservative,I did not vote,University diploma,Medium,Working full time (30 or more hours per week),7,2,I consent to taking part in this study,4,Conservative Party,Labour Party,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
904,0.99,37,Female,West Midlands,"Yes, voted",Green,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (8-29 hours a week),5,1,I consent to taking part in this study,1,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
905,0.81,29,Female,North West,"No, did not vote",,I did not vote,Recognised trade apprenticeship completed,Medium,Working part time (8-29 hours a week),3,4,I consent to taking part in this study,1,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
906,0.57,34,Female,South East,"No, did not vote",,I voted to Remain,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),3,1,I consent to taking part in this study,2,Labour Party,Reform UK,1,Not Asked,17,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
907,1.17,52,Female,West Midlands,"Yes, voted",Conservative,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Not working,6,4,I consent to taking part in this study,4,Conservative Party,Reform UK,1,66,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,16,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
908,0.7,24,Female,South East,"Yes, voted",Labour,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,3,Labour Party,Reform UK,1,Not Asked,65,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
909,0.82,46,Male,Scotland,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),10,1,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,95,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,10,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
910,0.8,51,Female,London,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),4,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
911,0.49,35,Female,North East,"Yes, voted",Labour,I voted to Remain,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),5,2,I consent to taking part in this study,1,Labour Party,Conservative Party,1,Not Asked,75,Not Asked,Not Asked,Not Asked,Not Asked,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
912,0.76,53,Female,London,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Not working,6,3,I consent to taking part in this study,4,Conservative Party,Green Party,1,75,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Almost never,Neither happy nor upset
913,0.64,80,Male,South West,"Yes, voted",Conservative,I voted to Remain,ONC,Medium,Retired,10,4,I consent to taking part in this study,3,Conservative Party,Labour Party,1,66,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,14,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
914,0.76,48,Male,East of England,"Yes, voted",Conservative,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),9,4,I consent to taking part in this study,2,Conservative Party,Green Party,1,93,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Tend to disagree,Once in a while,Extremely happy
915,0.8,86,Male,East Midlands,"Yes, voted",Reform UK,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,5,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
916,0.98,42,Female,Scotland,"No, did not vote",,I voted to Leave,Scottish Higher Certificate,Medium,Full time student,5,3,I consent to taking part in this study,5,None of these,Conservative Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Somewhat upset
917,0.72,47,Female,Yorkshire and the Humber,"Yes, voted",Labour,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Other,5,2,I consent to taking part in this study,6,Reform UK,Green Party,1,Not Asked,Not Asked,80,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Neither agree nor disagree,Don't know,Neither happy nor upset
918,2.83,37,Male,East of England,"Yes, voted",Reform UK,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,2,Reform UK,Liberal Democrats,1,Not Asked,Not Asked,91,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,997,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
919,0.95,35,Male,Yorkshire and the Humber,"Yes, voted",Labour,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),5,2,I consent to taking part in this study,1,Labour Party,Reform UK,1,Not Asked,42,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
920,1.21,41,Male,Scotland,"Yes, voted",Labour,I voted to Remain,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),5,1,I consent to taking part in this study,2,Conservative Party,Green Party,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Almost never,Neither happy nor upset
921,0.84,62,Male,East of England,"Yes, voted",Conservative,I voted to Leave,CSE grades 2-5,Low,Working full time (30 or more hours per week),10,2,I consent to taking part in this study,4,Conservative Party,Green Party,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Tend to disagree,Don't know,Neither happy nor upset
922,0.83,28,Male,South East,"No, did not vote",,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),7,2,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,55,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
923,0.72,58,Male,South East,"No, did not vote",,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),7,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
924,0.78,62,Female,South West,"Yes, voted",Reform UK,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Unemployed,7,1,I consent to taking part in this study,1,Reform UK,Labour Party,1,Not Asked,Not Asked,81,Not Asked,Not Asked,Not Asked,1,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
925,0.75,67,Male,London,"Yes, voted",Conservative,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Retired,9,2,I consent to taking part in this study,5,Labour Party,Liberal Democrats,1,Not Asked,66,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,10,Not Asked,Not Asked,Tend to disagree,Almost never,Neither happy nor upset
926,1.53,45,Male,London,"Yes, voted",Green,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,6,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,9,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
927,0.88,57,Male,North East,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,3,Labour Party,Conservative Party,1,Not Asked,65,Not Asked,Not Asked,Not Asked,Not Asked,1,2,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Once in a while,Neither happy nor upset
928,0.96,36,Male,East Midlands,"No, did not vote",,I did not vote,University diploma,Medium,Working full time (30 or more hours per week),9,4,I consent to taking part in this study,1,Conservative Party,Green Party,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,33,Tend to agree,Don't know,Neither happy nor upset
929,0.87,61,Male,Scotland,"Yes, voted",Labour,I voted to Remain,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Medium,Retired,7,3,I consent to taking part in this study,1,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
930,2.28,22,Male,West Midlands,"Yes, voted",Labour,I did not vote,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),8,3,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,61,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,10,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
931,0.55,46,Female,South West,"Yes, voted",Conservative,I voted to Leave,University diploma,Medium,Working part time (8-29 hours a week),10,1,I consent to taking part in this study,5,Conservative Party,Reform UK,1,23,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,43,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Once in a while,Neither happy nor upset
932,0.79,71,Female,North East,"No, did not vote",,I voted to Leave,No formal qualifications,Low,Retired,6,2,I consent to taking part in this study,5,Reform UK,Green Party,1,Not Asked,Not Asked,79,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Tend to disagree,Once in a while,Neither happy nor upset
933,0.8,79,Male,East Midlands,"Yes, voted",Reform UK,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,7,4,I consent to taking part in this study,5,Reform UK,Green Party,1,Not Asked,Not Asked,86,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Once in a while,Extremely happy
